"ID";"Bedrijfskenmerken";"Perioden";"OpenstaandeVacatures_1";"OntstaneVacatures_2";"VervuldeVacatures_3"
"41";"T001081";"2005KW02";"   154.4";"     212";"     212"
"42";"T001081";"2005KW03";"   153.3";"     227";"     228"
"43";"T001081";"2005KW04";"   157.3";"     212";"     208"
"44";"T001081";"2005JJ00";"   150.2";"     867";"     830"
"45";"T001081";"2006KW01";"   192.1";"     251";"     216"
"46";"T001081";"2006KW02";"   223.0";"     282";"     251"
"47";"T001081";"2006KW03";"   220.6";"     263";"     265"
"48";"T001081";"2006KW04";"   221.7";"     257";"     256"
"49";"T001081";"2006JJ00";"   206.3";"    1052";"     988"
"50";"T001081";"2007KW01";"   239.2";"     292";"     274"
